CNN_ID,attack_type,acc,precision,f1,auc-roc,pert_type,pert_size
379b49e2623485ab954772052907fc4772019ebdc902eac6f697e1a37e5c0d5c,fgsm,0.787,0.7938118992706568,0.7896514264981651,0.979324332531384,min,0.10003209114074707
379b49e2623485ab954772052907fc4772019ebdc902eac6f697e1a37e5c0d5c,pgd,0.746,0.7532067155806219,0.7489439671843974,0.9714783739387848,mean,0.2269495129585266
93fd05077bd8011ef93526dfdbd5ba8e09ed75af80a7d34913ad3d2817cbc28c,clean,0.921,0.9220803855866355,0.9213914079070398,0.9929595047101015,none,0.0
93fd05077bd8011ef93526dfdbd5ba8e09ed75af80a7d34913ad3d2817cbc28c,fgsm,0.775,0.7790213667876046,0.7760020000961785,0.9744443460638418,min,0.10003188997507095
93fd05077bd8011ef93526dfdbd5ba8e09ed75af80a7d34913ad3d2817cbc28c,pgd,0.723,0.7272087983599248,0.7242734272277159,0.9635848953136237,mean,0.22690917551517487
25fd67df90e43eb5568211cb27b88ba30512e31bb13dd9a8eda135a30a8df96d,clean,0.92,0.9199579684796587,0.9199258030986307,0.993611077981618,none,0.0
25fd67df90e43eb5568211cb27b88ba30512e31bb13dd9a8eda135a30a8df96d,fgsm,0.73,0.7354857202687213,0.7317623263233353,0.9694077121623491,min,0.10003148764371872
25fd67df90e43eb5568211cb27b88ba30512e31bb13dd9a8eda135a30a8df96d,pgd,0.664,0.6727211709342802,0.666226741084562,0.9572318215640496,mean,0.22661548852920532
dfd9f1679d1fee87be0cb146b1fe5f0910d33a6a0ee115db8083237029801bd6,clean,0.713,0.7138199073905033,0.7120339794886765,0.9555515807280176,none,0.0
dfd9f1679d1fee87be0cb146b1fe5f0910d33a6a0ee115db8083237029801bd6,fgsm,0.173,0.18000248400302984,0.17405682381168674,0.7295399718984467,min,0.10711918771266937
dfd9f1679d1fee87be0cb146b1fe5f0910d33a6a0ee115db8083237029801bd6,pgd,0.122,0.12468977169335649,0.12161911605051441,0.6618054778331117,mean,0.4906643033027649
8b08617f33057f56bf1ca4260af073f5d198bd1844bbc5049a89f6211388d37d,clean,0.688,0.6875306377278259,0.686197688673254,0.9464625813314589,none,0.0
8b08617f33057f56bf1ca4260af073f5d198bd1844bbc5049a89f6211388d37d,fgsm,0.215,0.22012462658326956,0.2152330278925795,0.7770304183384733,min,0.1070675253868103
8b08617f33057f56bf1ca4260af073f5d198bd1844bbc5049a89f6211388d37d,pgd,0.161,0.16154226322970947,0.15972104516083813,0.7252267224163724,mean,0.5019877552986145
0bca3a47f683f63b27e2dcad515f40d97b15cb2689f168311d93455ed59c224d,clean,0.689,0.6865008670245267,0.6868881878780313,0.9520552757038181,none,0.0
0bca3a47f683f63b27e2dcad515f40d97b15cb2689f168311d93455ed59c224d,fgsm,0.219,0.22790335956859992,0.22077419790850164,0.7393323986610051,min,0.10697126388549805
0bca3a47f683f63b27e2dcad515f40d97b15cb2689f168311d93455ed59c224d,pgd,0.141,0.14278458914823206,0.13984097284034594,0.6764044835470427,mean,0.49257123470306396
27ad7c46bfefcb3c355de50e7117297babb2ece5716514b61ba0966840a2c77c,clean,0.657,0.6557668431803596,0.6551602684539024,0.9460971713992231,none,0.0
27ad7c46bfefcb3c355de50e7117297babb2ece5716514b61ba0966840a2c77c,fgsm,0.233,0.23847917449535733,0.2327366506870956,0.7718611880086267,min,0.10726112127304077
27ad7c46bfefcb3c355de50e7117297babb2ece5716514b61ba0966840a2c77c,pgd,0.167,0.17282812738320882,0.16844263822101285,0.7134134970132044,mean,0.503440260887146
